Keywords,Descriptions,Cluster
Latin honors,"Latin honors are Latin phrases used in some colleges and universities to indicate the level of distinction with which an academic degree has been earn As a bachelor's degree student, if you have a sufficiently high grade point average (GPA) upon degree conferral, you will receive Latin Honor designat Jun 25, 2019 · Collectively known as Latin honors, these three terms signify varying levels of high academic achievement. Latin honors are conferred a",4
History and traditions of Harvard commencements,"What was originally called Harvard Colledge held its first Commencement in September 1642, when nine degrees were conferred. Today some 1700 ...
Daybr The Spirit & Spectacle of Harvard Commencement ... The clear-cut lines of history can snip ribbons and bows alike to give us a glimpse inside the box. What was originally called Harvard Colledge (around which Harvard University eventually grew) held its first Commencement in September 1642, when nine",3
Bookselling,"Bookselling is the commercial trading of books which is the retail and distribution end of the publishing process. People who engage in bookselling ar Oct 6, 2018 · Bookselling has been relentlessly romanticised, most often by Hollywood: in truth , it is further away from You've Got Mail (Tom Hanks's 3 days ago · Bookselling This Week recently talked to the owners of three bookstores with retail spaces under 1,500 square feet to see how they maximi",1
Science museum,"Features a revolving schedule of temporary exhibits, IMAX films, and Planetarium shows, plus details on more than 700 interactive permanent exhibits,  Plan ahead and buy your BODY WORLDS or general Exhibit Halls tickets at least one day before your visit and save $3 on each ticket.  Discount will be  The Museum of Science (MoS) is a science museum and indoor zoo in Boston, Massachusetts, located in Science Park, a plot of land spanning the Charles ",1
Dean,"Kwon Hyuk (Korean: 권혁; born November 10, 1992), better known by his stage name Dean, is a South Korean alternative R&B singer-songwriter, rapper and . Title[edit]. Dean (education) · Dean (Christianity), persons in certain positions of authority within a religious hierarchy; The head of a Bar associa Official Dean Guitars website showing the world's finest selection of Electric Guitars, Bass Guitars, Acoustic Guitars, guitar pickups guitar amps, an",1
Art museum,"The Harvard Art Museums — the Fogg, Busch-Reisinger, and Arthur M. Sackler Museums. Advanced Search. Classification; Work Type; Technique / Medium ... The Harvard Art Museums are committed to creating an environment that fosters ... The Art Study Center welcomes visitors by appointment (free with mus The MFA is one of the most comprehensive art museums in the world; the collection encompasses nearly 450000 works of art. We welcome more than one  ..",3
Kyle Kashuv,"Just to be very clear about the Gaza situation:  Gaza just launched 10 rockets at Israel. Israel has absolutely every right to defend itself. No other Kyle Kashuv (born May 20, 2001) is an American conservative activist. He survived the 2018 Stoneman Douglas High School shooting and subsequently ...
 Jun 17, 2019 · A teen conservative activist got in trouble for past racist comments.  ... Kashuv is a recent graduate of Marjory Stoneman Douglas High",2
Richard A and Susan F Smith Campus Center,"The Richard A. and Susan F. Smith Campus Center. The Smith Campus Center is a dynamic center of University life, enabling the greater Harvard communit Harvard Affiliates – 10th Floor of the Smith Campus Center The Heights ... Richard A. and Susan F. Smith Campus Center, Room 734. Cambridge, MA 02138 The Smith Campus Center serves as a welcoming and vibrant entrance to Harvard University as well ... While many of the spaces within the Smith Campus ",3
Academic conference,"An academic conference or scientific conference is an event for researchers (not necessarily academics) to present and discuss their work. Together wi Feb 19, 2019 · Are you making the most of the academic conferences you're attending? Read this guide to find out if you're missing a trick. Insight on what takes place at academic conferences, presenting your work, networking and paying for it all.",4
University of Cambridge,"The mission of the University of Cambridge is to contribute to society through the pursuit of education, learning and research at the highest internat The University of Cambridge is a collegiate public research university in Cambridge, United Kingdom. Founded in 1209 and granted a royal charter by Ki Thinking of #postgraduate study at #Cambridge? Here's how to apply ⬇  @Cam_Grads #CambridgeOpenDays pic.twitter.com/1fZ6bH1X6…",0
Parkland,"On February 14, 2018, a gunman opened fire with a semi-automatic rifle at Marjory Stoneman Douglas High School in Parkland, Florida, in the Miami ...
 Parkland is a city in Broward County, Florida, United States. As of the 2010 census, the population of Parkland was 23,962. Parkland is part of the Mi Feb 15, 2018 · The teen gunman accused of opening fire with a semi-automatic rifle at his former high school in Parkland, Florida, has been charged wi",2
Harvard Crimson mens ice hockey,"... sale for the Harvard Crimson men's and women's basketball and hockey teams . Full Story · James Marcou joins the Harvard men's ice hockey coaching 2018-19 Harvard Men's Ice Hockey Roster ... Wt.: 205, Hometown: Grosse Pointe, Mich. High School: University Liggett School. No.: 6, Colton Kerfoot fu 2018-19 Harvard Men's Ice Hockey Schedule. Overall 19-11- .... Boston University. ESPN+. Final - .... Lake Placid, N.Y. ECAC Hockey Semifinals l ESPN+",3
SAT,"Millions of students take the SAT each year as a step on their path to college. Visit our site to learn about the test, register, practice, and get yo",1
Fellow,"Greetings fellow coffee lovers. What happens when a love for coffee and a passion for product design meet up for a romantic candlelit dinner? Fellow h Fellow definition is - comrade, associate. How to use fellow in a sentence. Did You Know? A fellow is a member of an academy, learned society or group of learned people ( a fellowship) which works together in pursuing mutual knowledge or pr",1
American football,"American football, referred to as football in the United States and Canada and also known as gridiron, is a team sport played by two teams of eleven p American Football is an American rock band from Urbana, Illinois, United States, originally active from 1997 until 2000, and again from 2014. Guitaris Year One Demos documents the first proper demos we ever recorded and features versions of tracks that would later appear on our debut album and EP.
Li",1
Artificial intelligence,"In computer science, artificial intelligence (AI), sometimes called machine intelligence, is intelligence demonstrated by machines, in contrast to the “Everything we love about civilization is a product of intelligence, so amplifying our human intelligence with artificial intelligence has the potenti Artificial intelligence (AI) is wide-ranging branch of computer science concerned with building smart machines capable of performing tasks the typical",1
Harvard University Graduate School Of Design,"Back to top. The Graduate School of Design educates leaders in design, research, and scholarship to make a resilient, just, and beautiful world. The Harvard Graduate School of Design is a professional graduate school at Harvard University, located at Gund Hall, Cambridge, Massachusetts. The GSD Harvard Graduate School of Design, Cambridge, MA. 80K likes. This is the official page for the Harvard Graduate School of Design and is open to anyone",2
Harvard Kennedy School,"We believe that smart public policy and inspired public leadership can make people's lives safer, freer, and more prosperous. The John F. Kennedy School of Government at Harvard University is a public policy and public administration school, of Harvard ...
History · Academics The advantage for STEM majors fades steadily after their first jobs, and by age 40 the earnings of people who majored in fields like social science or",2
Senior management,"Senior management, executive management, upper management, or a management team is generally a team of individuals at the highest level of management  Definition of senior management: A group of high level executives that actively participate in the daily supervision, planning and administrative proc The title of senior manager is most often used and encountered in large organizations with multiple layers of management. A senior manager has ...",1
Harvard Book Store,"Explore book recommendations, author events, gifts, and more from Harvard ... Gift Cards: Redeemable at Harvard Book Store and online at harvard.com. Harvard Book Store is an independently run bookstore serving the greater Cambridge area. The bookstore is located in Harvard Square and has been ... Harvard Book Store is an independent and locally owned seller of used, new, and bargain books in Cambridge's Harvard Square. Harvard Book Store was ..",3
Racism,"Racism is the belief in the superiority of one race over another. It may also mean prejudice, discrimination, or antagonism directed against other peo Racism is the belief that a particular race is superior or inferior to another, that a person’s social and moral traits are predetermined by his or he Racism definition is - a belief that race is the primary determinant of human traits and capacities and that racial differences produce an inherent su",1
 Center for Nanoscale Systems,"The Center for Nanoscale Systems (CNS) is a shared-use core facility at Harvard University. Our scientific focus is the study, design and fabrication  The Center for Nanoscale Systems (CNS) was created to support a very clear vision: The development of a collaborative multi-disciplinary research envi The Center for Nanoscale Systems (CNS) is the shared-use core facility at Harvard University for nanoscale research. We provide world-class, centraliz",0
Science Center,"The Science Center is open Monday through Sunday from 6am to 11:30pm. Harvard IDs are required to access to the building after hours. After 5:00 p.m.  Harvard Science Center 1 Oxford Street, Cambridge. IBM ASCC - Harvard Mark 1 IBM Automatic Sequence Controlled Calculator (ASCC) - Harvard Mark 1. The Harvard University Science Center is Harvard's main classroom and laboratory building for undergraduate science and mathematics, in addition to ho",3
Barack Obama,"Barack Hussein Obama II is an American attorney and politician who served as the 44th president of the United States from 2009 to 2017. A member of th Proud to endorse an outstanding group of Virginia Democrats in Tuesday’s election—candidates who’ll not only advance the causes of equality, justice, ",1
Harvard Business School,"Initiatives are research-fueled ""communities of engagement"" where faculty, students, and alumni connect with practitioners in the field to develop ins Harvard Business School Executive Education programs are designed specifically for executives at critical transition points in their careers.",2
Ice hockey,"Ice hockey is a contact team sport played on ice, usually in a rink, in which two teams of skaters use their sticks to shoot a vulcanized rubber puck  Oct 4, 2019 · Ice hockey, game between two teams, each usually having six players, who wear skates and compete on an ice rink. The object is to propel Access official Olympic Ice Hockey sport and athlete records, events, results, photos, videos, news and more.",4
Harvard TH Chan School of Public Health,"Harvard School of Public Health brings together dedicated experts from many disciplines to educate new generations of global health leaders and produc The Harvard T.H. Chan School of Public Health is the public health graduate school of Harvard University, located in the Longwood Medical Area of Bost College & University in Boston, Massachusetts.  ... www.hsph.harvard.edu.  ... Harvard Chan’s Francesca Dominici discussed her research on the growing",2
Hall,"Definition of Hall (Entry 2 of 7)  ... These example sentences are selected automatically from various online news sources to reflect current usage of In architecture, a hall is a relatively large space enclosed by a roof and walls. In the Iron Age and early Middle Ages in northern Europe, a mead hal Software and strategy designed for your community to thrive.",1
Peabody Museum of Archaeology and Ethnology,"... the Peabody Museum is among the oldest archaeological and ethnographic museums in the world with one of the finest collections of human cultural h The Peabody Museum of Archaeology and Ethnology is a museum affiliated with Harvard University in Cambridge, Massachusetts. Founded in 1866, the ...
H Rating  4.5  (159) From towering Native American totem poles and large Maya sculptures to precious artifacts of the ancient world, the Peabody Museum ",3
Business school,"A business school is a university-level institution that confers degrees in business administration or management. According to Kaplan, business schoo A career in business starts with finding the MBA program that fits your needs. With the U.S. News rankings of the top business schools, narrow your se",2
Lacrosse,"Lacrosse is a team sport played with a lacrosse stick and a lacrosse ball. Players use the head of the lacrosse stick to carry, pass, catch, and shoot Cambridge Youth Lacrosse is a 501(c)(3) non-profit organization looking to promote the growth of both boys and girls lacrosse in Cambridge, Massachuse Cambridge Rindge & Latin High School Lacrosse.  ... 459 Broadway, Cambridge, MA 02138.  ... If you are not the coach but have access to this team's sc",1
Harvard Crimson mens basketball,"2019-20 Men's Basketball Roster .... The Thomas G. Stemberg '71 Family Endowed Coach for Harvard Men's Basketball: Tommy Amaker (13th season, Duke ... Men's Basketball · Home · Coaches · Roster · Schedule · Statistics · News · Ivy League Tournament · Archives · Record Book · Crimson In The Pros · Vid 2018-19 Harvard Men's Basketball Schedule. Overall 19-12. Pct. .613. Conf. 10-4 . Pct. .714 ... vs. Crimson Madness #. Free Admission | TV: ESPN+. 7:0",3
HKS Inc,"HKS is an international design firm of more than 1400 architects, interior designers, urban designers, scientists, artists, anthropologists and more.  HKS, Inc. is an American international architecture firm headquartered in Dallas, Texas (USA). Contents. 1 History; 2 Services; 3 Notable Projects; 4  Learn about working at HKS, Inc.. Join LinkedIn today for free. See who you know at HKS, Inc., leverage your professional network, and get hired.",1
HKS,"HKS is an international design firm of more than 1400 architects, interior designers, urban designers, scientists, artists, anthropologists and more.  We believe that smart public policy and inspired public leadership can make people's lives safer, freer, and more prosperous.
Master's Programs · Admi HKS specializes in aftermarket high performance auto parts engineering and manufacturing. Contact us today!
Products · Support · About · By Make",1
Harvard Law School,"Harvard Law School is one of the preeminent centers of legal education in the world. Led by a diverse and dedicated group of faculty and legal scholar Harvard Law School is the law school of Harvard University in Cambridge, Massachusetts. Founded in 1817, it is the oldest continuously operating law s",2
Freshman,"A freshman, first year, or frosh, is a person in the first year at an educational institution, usually a secondary or post-secondary school.
Brazil ·  A freshman is usually a student in their first year of high school. They enjoy stopping in the middle of the hallway to hug their friends during the 6 These example sentences are selected automatically from various online news sources to reflect current usage of the word 'freshman.' Views expressed i",2
Deportation,"Deportation is the expulsion of a person or group of people from a place or country. The term expulsion is often used as a synonym for deportation, th 14 hours ago · An undocumented teenager protesting Trump's deportation regime got deported by ICE. The FBI helped.",1
Graduate School of Arts and Sciences,"The Graduate School of Arts and Sciences (GSAS) at Harvard University is where scholarship and innovation meet, where ideas are challenged and theorie 4 days ago · We're delighted that you are interested in pursuing an advanced degree at the Graduate School of Arts and Sciences (GSAS). Harvard has a  The Graduate School of Arts and Sciences (GSAS) is the largest of the twelve graduate schools of Harvard University. Formed in 1872, GSAS is responsib",2
Mathematics,"Mathematics includes the study of such topics as quantity (number theory), structure (algebra), space (geometry), and change (mathematical analysis).  Mathematics, the science of structure, order, and relation that has evolved from counting, measuring, and describing the shapes of objects. The Mathematics I course, often taught in the 9th grade, covers Linear equations, inequalities, functions, and graphs; Systems of equations and inequa",1
Cover letter,"The cover letter is a tool to help introduce yourself in a memorable, personal way during a job application. A well-crafted cover letter goes over inf Cover Letter Samples & Writing Tips.  ... Do you need to write a cover letter to apply for a job?  ... Review these tips for what to include in a cove",1
Convocation,"A convocation is a group of people formally assembled for a special purpose, mostly ecclesiastical or academic. Student receiving academic degree from Convocation definition is - an assembly of persons called together to a meeting. How to use convocation in a sentence. Aug 23, 2012 · It's the most wonderful time of the year... the start of the academic year, that is. In the spirit of the season, my campus held three ",1
Canvas,"Enter your Email and we'll send you a link to change your password. Request Password. Back to Login. Need a Canvas Account? Click Here, It's Free! See why Canvas by Instructure is the world's fastest-growing learning platform. We create ...Duration: 2:40 Please Log In. To log in, please select your login type from the tabs below and enter your credentials. If you're not sure what login type to use, loo",1
Academic department,"An academic department is a division of a university or school faculty devoted to a particular academic discipline. This article covers United States  Cambridge Public Schools Logo Cambridge Public Schools. School Registration · Calendar · Employment · Contact CPS · Students & Families · Teachers & S Bentley University in Massachusetts is one of the nation's leading business schools with undergraduate offerings, MBA programs and seven MS degrees.",2
Information technology,"Feb 25, 2019 · If you're looking to get a better handle on what information technology is and the many facets of this field, then you've come to the r Information technology (IT) is the use of computers to store, retrieve, transmit, and manipulate data, or information, often in the context of a busin Information technology is a rapidly growing field that offers secure positions for individuals with a minimum of a bachelor's degree in an IT-related ",4
Phillips Brooks House,"Phillips Brooks House Association. Harvard Yard. Cambridge, MA. 02138. Phone : (617) 495-5526. Fax: (617) 496-2461. Email: PBHA@PBHA.org.About UsProgr",3
Public policy,"Public policy is the principled guide to action taken by the administrative executive branches of the state with regard to a class of issues, in a man Getting scholars to agree on a single, all-inclusive definition of public policy is no easy task. Broadly, we might say that a public policy is simply Definitions of Public Policy and the Law Contributed by. Dean G. Kilpatrick, Ph.D. National Violence Against Women Prevention Research Center Medical ",0
New York University,"About NYU · In a new book, former NYU President John Sexton warns of an increasing ""lack of intellectual openness"" in public discou ... Academic Progr New York University (NYU) is a private research university based in New York City. Founded in 1831, NYU's historical campus is in Greenwich Village, L Rating  5.0  (45) New York University is a private institution that was founded in 1831. It has a total undergraduate enrollment of 26,733, and the se",0
University of Pennsylvania,"The Power of Penn - Advancing Knowledge for Good ... to better determine which genetic mutations to target with immunotherapy. https://bit.ly/2PpWK2j  We are the Perelman School of Medicine -- the Nation's First -- and the Hospital of the University of Pennsylvania -- the nation's first hospital buil The University of Pennsylvania (Penn or UPenn) is a private Ivy League research university in Philadelphia, Pennsylvania. It is one of the nine coloni",0
Brown Bears football,"The official Football page for the Brown University Bears. The official 2019 Football schedule for the Brown University Bears. For information on all Brown University sports, see Brown Bears. The Brown Bears football program is the intercollegiate American football team for Br",0
Spring,"Spring Boot is designed to get you up and running as quickly as possible, with minimal upfront configuration of Spring. Spring Boot takes an opinionat A key element of Spring is infrastructural support at the application level: Spring focuses on the ""plumbing"" of enterprise applications so that teams Spring is one of the four temperate seasons, following winter and preceding summer. There are various technical definitions of spring, but local usage",1
Writing center,"The Writing Center, part of the Harvard College Writing Program, is a place for Harvard undergraduates to get help with any aspect of their writing, f The CAS Writing Center offers one-on-one appointments free of charge to students with papers from Writing Program courses (CAS WR courses) and their   The Northeastern University Writing Center–part of the Writing Program and Department of English in the College of Social Sciences and Humanities–is o",3
Application for employment,"Standard Application for Employment. It is our policy to comply with all applicable state and federal laws prohibiting discrimination in employment ba Aug 14, 2017 · Please print or type. The application must be fully completed to be considered. Please complete each section, even if you attach a resu I certify that the information contained in this application is correct to the best of my knowledge. I understand that to falsify information is groun",1
Innovation,"Innovation definition is - the introduction of something new. How to use innovation in a sentence. What is the difference between innovation and inven Innovation in its modern meaning is ""a new idea, creative thoughts, new imaginations in form of device or method"". Innovation is often also viewed as  Mar 18, 2016 · I spoke to 15 of the world's leading innovation experts to get their definition of "" innovation"". The variety in their responses may su",1
Yale Bulldogs football,"Season Record. Overall 4-1; PCT .800; Conf 1-1; PCT .500; Streak W1; Home 3-0 ; Away 1-1; Neutral 0-0. Scheduled Games. Holy Cross Logo. Sep 21 (Sat)  The official Football page for the. ... 25 Bulldogs Strike Early, Take Down Northeastern READ ➡ https://t.co/x7A6q6w2zr #ThisIsYale https://t.co/ D8Cc Rawlings leads Yale to 46-41 shootout win over Penn.  Kurt Rawlings accounted for four touchdowns, Zane Dudek rushed for three scores and Yale outlast",1
Harvard–Yale football rivalry,"The Harvard–Yale football rivalry is renewed annually with The Game, an American college football contest between the Harvard Crimson football team of ... been suggested that this article be merged into Harvard–Yale football rivalry. ( Discuss) Proposed since September 2018. The football teams of Har Yale has 103 national titles to its credit, including several in football, swimming ... Although crew enthusiasts may bristle, the football rivalry be",3
Hillel International,"Hillel is the largest Jewish campus organization in the world. We engage with college students at more than 550 universities across the globe. Hillel  Hillel: The Foundation for Jewish Campus Life is the largest Jewish campus organization in the world, working with thousands of college students globa Rating  4.7  (55) Hillel International, Washington, District of Columbia. 111396 likes · 823 talking about this. Enriching the lives of Jewish student",1
Harvard University Band,"Homepage of the Harvard University Band, the university's official student band since 1919.
About the Band · Reunion · Join the Band · Support the Ban The Harvard University Band (HUB) is the official student band of Harvard University. The Harvard Wind Ensemble, the Harvard Summer Pops Band, and the Rating  4.3  (25) Harvard University Band, Cambridge, MA. 1441 likes · 1 talking about this · 315 were here. Undefeated since 1919. Illegitimum non Ca",3
Scholarship,"Supporting students by breaking down barriers, opening doors, and offering access to college scholarships. Browse our scholarships.
Browse Scholarship Welcome to Scholarships.com's Free Scholarship Search! Search from nearly 4 million scholarships, along with other financial aid, including grants and Find millions of dollars in college scholarships using our free scholarship search. Apply for Unigo Scholarships in minutes. Easy & Free!",1
College of the Holy Cross,"Founded in 1843 by the Society of Jesus (Jesuits) in Worcester, Massachusetts, the College is a highly selective, four year, undergraduate, liberal ar The College of the Holy Cross, or better known simply as Holy Cross, is a private Jesuit liberal arts college in Worcester, Massachusetts. Founded in  Rating  5.0  (2) It has a total undergraduate enrollment of 3,128, its setting is suburban, and the campus size is 174 acres.  ... College of the Holy",1
Rowing,"Rowing, sometimes referred to as crew in the United States, is a sport whose origins reach back to Ancient Egyptian times. It involves propelling a bo Adult Rowing. CRI adult programs are for rowers of all athletic backgrounds and ages. We offer a variety of programs to match any skill level or compe",1
Funding,"Funding is the act of providing resources to finance a need, program, or project. While this is usually in the form of money, it can also take the for Expand, hire staff, or fund your next step with fast, affordable business loans.  ... $10.9 billion through Funding Circle.  ... In the small business College is expensive these days, so if you plan on going, you may need some funding — or money that makes projects possible.",1
